UserID,Gender,Age,Occupation,Area
132,male,25-34,technician/engineer,Fairbanks
133,female,25-34,other,Saint Paul Park
134,male,25-34,other,Overland Park
135,male,18-24,college/grad student,Washington
136,male,18-24,artist,Baltimore
137,female,45-49,doctor/health care,Austin
138,male,18-24,writer,Arlington
139,female,25-34,writer,Dayton
140,female,35-44,academic/educator,Saint Paul
141,male,35-44,retired,Godfrey
142,male,25-34,executive/managerial,New York
143,male,18-24,clerical/admin,
144,male,25-34,technician/engineer,Charleston
145,male,18-24,college/grad student,Swarthmore
146,female,35-44,writer,Nanuet
147,male,18-24,college/grad student,Thousand Oaks
148,male,50-55,technician/engineer,Hot Springs
149,male,25-34,academic/educator,Columbia
150,male,35-44,executive/managerial,Seattle
151,female,25-34,writer,Phoenix
152,male,18-24,college/grad student,Ann Arbor
153,male,<18,K-12 student,Harlan
154,male,50-55,writer,El Cerrito
155,male,35-44,programmer,Wayne
156,female,45-49,executive/managerial,Ontario
157,male,35-44,self-employed,Saratoga Springs
158,male,56+,executive/managerial,Mars Hill
159,female,45-49,other,Knoxville
160,male,35-44,executive/managerial,Auburn
161,male,45-49,self-employed,
162,female,18-24,college/grad student,Goleta
163,male,18-24,college/grad student,Phoenix
164,female,56+,retired,Pleasanton
165,male,18-24,self-employed,Olympia
166,male,18-24,college/grad student,Anaheim
167,female,25-34,lawyer,New York
168,female,50-55,other,Peru
169,male,25-34,executive/managerial,Minneapolis
170,male,25-34,lawyer,Bayonne
171,female,50-55,technician/engineer,Minneapolis
172,male,25-34,clerical/admin,River Edge
173,male,25-34,other,Cincinnati
174,male,25-34,self-employed,Baltimore
175,female,25-34,artist,San Jose
176,female,18-24,clerical/admin,Cottage Grove
177,male,50-55,academic/educator,Hudson
178,male,56+,technician/engineer,Madison
179,male,25-34,other,Brighton
180,male,45-49,programmer,Worcester
181,male,18-24,technician/engineer,Miami
182,male,18-24,college/grad student,Litchfield
183,female,45-49,academic/educator,Minneapolis
184,female,25-34,other,Abington
185,male,45-49,other,Hilton
186,male,18-24,customer service,Pomona
187,female,45-49,academic/educator,Redwood City
188,male,56+,self-employed,El Paso
189,male,18-24,other,Skokie
190,male,25-34,technician/engineer,Saint Paul
191,male,18-24,college/grad student,Belfast
192,male,18-24,academic/educator,Spring Valley
193,female,45-49,scientist,Cleveland
194,female,<18,K-12 student,Springfield
195,male,25-34,programmer,Bronx
196,female,35-44,homemaker,Union City
197,male,18-24,sales/marketing,New York
198,male,25-34,programmer,Saint Paul
199,male,18-24,college/grad student,Boise
200,female,18-24,college/grad student,Logan
201,female,35-44,artist,Saint Paul
202,male,18-24,college/grad student,Madison
203,female,18-24,college/grad student,Madison
204,male,25-34,executive/managerial,San Diego
205,male,35-44,programmer,Corvallis
206,male,25-34,technician/engineer,Reston
207,male,25-34,programmer,San Francisco
208,male,35-44,technician/engineer,Minneapolis
209,male,35-44,academic/educator,Los Angeles
210,female,<18,K-12 student,Beckley
211,male,45-49,technician/engineer,Buena Park
212,male,25-34,self-employed,Madison
213,female,18-24,college/grad student,Worcester
214,male,18-24,writer,Denver
215,male,35-44,sales/marketing,Solana Beach
216,male,45-49,retired,Muscatine
217,male,18-24,college/grad student,Charlottesville
218,male,35-44,sales/marketing,Sacramento
219,female,25-34,college/grad student,Saint Paul
220,male,25-34,programmer,Charlottesville
221,female,25-34,other,Redwood City
222,male,25-34,academic/educator,Saint Paul
223,male,25-34,technician/engineer,Charlotte
224,female,18-24,college/grad student,Ithaca
225,male,25-34,executive/managerial,Brooklyn
226,male,35-44,academic/educator,Concord
227,male,35-44,writer,Venice
228,male,25-34,scientist,Minneapolis
229,male,18-24,K-12 student,Southport
230,male,45-49,academic/educator,Columbus
231,male,25-34,clerical/admin,Minneapolis
232,male,25-34,writer,Minneapolis
233,female,45-49,writer,
234,male,35-44,executive/managerial,Magnolia
235,male,25-34,other,
236,male,25-34,customer service,Saint Paul
237,male,25-34,doctor/health care,Fort Wayne
238,female,50-55,executive/managerial,Venice
239,male,18-24,unemployed,Oakland
240,male,50-55,technician/engineer,Saint Paul
241,male,35-44,writer,Saint Paul
242,female,18-24,college/grad student,Madison
243,male,25-34,self-employed,Roslyn
244,male,50-55,executive/managerial,Narberth
245,male,35-44,self-employed,Lawrence
246,female,18-24,college/grad student,Chicago
247,male,25-34,technician/engineer,San Mateo
248,male,18-24,technician/engineer,Fayetteville
249,female,18-24,sales/marketing,Dearborn
250,male,35-44,self-employed,Brooklyn
251,male,56+,technician/engineer,Saint Paul
252,male,25-34,programmer,San Francisco
253,female,25-34,lawyer,Philomath
254,male,35-44,technician/engineer,Battle Creek
255,male,35-44,other,Glendale
256,male,45-49,self-employed,Inver Grove Heights
257,male,18-24,tradesman/craftsman,Saint Paul
258,male,25-34,executive/managerial,Minneapolis
259,male,25-34,academic/educator,Chicago
260,male,18-24,unemployed,Seattle
261,male,25-34,writer,Palestine
262,female,25-34,academic/educator,Lincoln
263,female,25-34,executive/managerial,Alexandria
264,male,35-44,other,Fort George G Meade
265,female,35-44,executive/managerial,Saint Paul
266,male,35-44,lawyer,Dallas
267,male,45-49,programmer,Afton
268,female,18-24,programmer,Fort Mill
269,male,25-34,artist,Minneapolis
270,male,50-55,sales/marketing,Minneapolis
271,male,18-24,college/grad student,Detroit
272,male,18-24,other,Boulder
273,male,18-24,college/grad student,Minneapolis
274,male,18-24,college/grad student,Minneapolis
275,male,25-34,other,Monroe
276,male,45-49,self-employed,South Hamilton
277,female,35-44,academic/educator,Seattle
278,male,45-49,tradesman/craftsman,Worth
279,male,25-34,sales/marketing,La Crescenta
280,male,50-55,executive/managerial,Philadelphia
281,female,35-44,other,San Francisco
282,male,25-34,technician/engineer,San Mateo
283,male,25-34,other,New York
284,male,25-34,programmer,Chula Vista
285,female,35-44,other,San Francisco
286,male,25-34,academic/educator,La Crosse
287,male,50-55,retired,Albany
288,female,25-34,programmer,Gaston
289,female,25-34,other,Hicksville
290,female,25-34,writer,Vallejo
291,male,35-44,programmer,Saint Paul
292,male,35-44,executive/managerial,King Of Prussia
293,male,56+,academic/educator,
294,female,45-49,homemaker,Pickerington
295,male,18-24,other,Denver
296,male,50-55,customer service,Sparks
297,male,18-24,artist,Portland
298,female,18-24,college/grad student,Bryn Mawr
299,male,25-34,programmer,Philomath
300,male,25-34,executive/managerial,Round Rock
301,male,18-24,college/grad student,Champaign
302,male,18-24,college/grad student,Waterville
303,male,25-34,executive/managerial,Washington
304,male,25-34,other,Minneapolis
305,female,18-24,other,Minneapolis
306,male,18-24,other,Menomonee Falls
307,male,50-55,self-employed,Los Angeles
308,male,25-34,artist,New York
309,male,25-34,college/grad student,State College
310,female,18-24,college/grad student,Macon
311,male,18-24,college/grad student,Macon
312,female,50-55,artist,Arlington
313,female,18-24,college/grad student,Cambridge
314,female,56+,homemaker,Amboy
315,female,56+,academic/educator,Saint Paul
316,male,56+,retired,Seal Beach
317,male,35-44,executive/managerial,Crossville
318,female,56+,retired,Saint Paul
319,female,50-55,doctor/health care,Boynton Beach
320,male,35-44,doctor/health care,Anchorage
321,male,18-24,college/grad student,Saint Paul
322,male,56+,technician/engineer,Saint Paul
323,male,45-49,programmer,Madison
324,male,35-44,technician/engineer,Saint Paul
325,female,50-55,clerical/admin,Saint Paul
326,male,50-55,lawyer,Charleston
327,male,35-44,tradesman/craftsman,Minneapolis
328,male,35-44,programmer,Golden
329,male,35-44,executive/managerial,Boston
330,male,56+,executive/managerial,Ramona
331,male,25-34,executive/managerial,Rochester
332,male,50-55,academic/educator,Saint Paul
333,male,35-44,artist,Minneapolis
334,female,56+,artist,Saint Paul
335,male,35-44,tradesman/craftsman,Minneapolis
336,male,18-24,other,
337,male,18-24,unemployed,Denver
338,male,35-44,executive/managerial,Saint Paul
339,male,50-55,executive/managerial,Denver
340,female,25-34,clerical/admin,Albemarle
341,female,56+,retired,San Diego
342,male,18-24,programmer,Inver Grove Heights
343,female,35-44,clerical/admin,Saint Paul
344,male,35-44,sales/marketing,Frisco
345,male,25-34,programmer,San Francisco
346,female,25-34,other,Saint Paul
347,female,56+,academic/educator,Hopkins
348,male,50-55,executive/managerial,Saint Paul
349,male,<18,K-12 student,Haddon Heights
350,male,45-49,writer,Haddon Heights
351,male,18-24,college/grad student,Saint Paul
352,male,18-24,college/grad student,Dekalb
353,female,35-44,executive/managerial,Corona Del Mar
354,male,35-44,academic/educator,Saint Paul
355,male,18-24,clerical/admin,Saint Paul
356,male,56+,writer,Saint Paul
357,male,18-24,other,Seattle
358,female,56+,academic/educator,Chevy Chase
359,male,25-34,technician/engineer,Saint Paul
360,male,35-44,technician/engineer,Charlotte
361,female,25-34,sales/marketing,San Francisco
362,male,35-44,writer,Minneapolis
363,male,18-24,K-12 student,Minneapolis
364,female,35-44,academic/educator,Fort Wayne
365,female,18-24,college/grad student,Cambridge
366,male,50-55,scientist,Saint Paul
367,male,50-55,programmer,Minneapolis
368,male,25-34,other,Playa Del Rey
369,male,35-44,academic/educator,Saint Paul
370,male,18-24,technician/engineer,Alexandria
371,male,18-24,college/grad student,Cambridge
372,female,18-24,college/grad student,Little Rock
373,female,25-34,artist,Eden Prairie
374,female,35-44,sales/marketing,Eden Prairie
375,male,25-34,artist,Saint Paul
376,male,35-44,academic/educator,Lafayette
377,male,25-34,technician/engineer,Minneapolis
378,female,18-24,other,Saint Paul
379,female,35-44,academic/educator,Cameron
380,male,25-34,artist,Encinitas
381,male,35-44,technician/engineer,Henderson
382,female,35-44,writer,Mission
383,female,25-34,executive/managerial,Austin
384,male,25-34,lawyer,South Saint Paul
385,male,25-34,doctor/health care,Omaha
386,male,25-34,other,Minneapolis
387,female,35-44,executive/managerial,Saint Paul
388,female,25-34,other,New York
389,male,25-34,doctor/health care,La Vista
390,male,25-34,college/grad student,Minneapolis
391,male,45-49,lawyer,Newington
392,male,18-24,executive/managerial,Washington
393,male,35-44,technician/engineer,Minneapolis
394,male,18-24,other,Chisago City
395,male,18-24,customer service,Saint Paul
396,male,25-34,academic/educator,Worthington
397,male,35-44,technician/engineer,Oakton
398,male,25-34,technician/engineer,Minneapolis
399,female,35-44,doctor/health care,Saint Paul
400,female,18-24,clerical/admin,Minneapolis
401,male,18-24,other,Saint Paul
402,male,25-34,lawyer,Minneapolis
403,male,18-24,college/grad student,Cambridge
404,male,18-24,college/grad student,New York
405,male,56+,academic/educator,Homer
406,male,25-34,writer,Saint Paul
407,male,18-24,technician/engineer,Reno
408,male,25-34,lawyer,Somerville
409,male,18-24,programmer,Saint Paul
410,female,25-34,academic/educator,Minneapolis
411,female,45-49,academic/educator,Columbus
412,male,35-44,scientist,Saint Paul
413,male,25-34,lawyer,Minneapolis
414,male,25-34,other,Chanhassen
415,female,35-44,other,Minneapolis
416,male,45-49,sales/marketing,Inver Grove Heights
417,female,25-34,other,Cedar Falls
418,female,25-34,clerical/admin,Hudson
419,male,18-24,clerical/admin,Minneapolis
420,male,35-44,academic/educator,Minneapolis
421,female,45-49,clerical/admin,Saint Paul
422,male,56+,technician/engineer,Saint Paul
423,male,18-24,college/grad student,Minneapolis
424,male,25-34,technician/engineer,Saint Paul
425,male,25-34,programmer,Anoka
426,male,18-24,college/grad student,Minneapolis
427,male,35-44,programmer,Saint Paul
428,female,18-24,college/grad student,Minneapolis
429,male,18-24,other,Oshkosh
430,female,18-24,K-12 student,Burnsville
431,male,18-24,K-12 student,Anoka
432,male,45-49,self-employed,Burnsville
433,male,50-55,doctor/health care,Saint Paul
434,female,45-49,clerical/admin,Seattle
435,male,25-34,executive/managerial,Saint Paul
436,male,18-24,college/grad student,Granville
437,male,35-44,technician/engineer,Grasston
438,male,18-24,lawyer,Madison
439,male,35-44,sales/marketing,Saint Paul
440,male,56+,academic/educator,Melbourne
441,male,35-44,academic/educator,Saint Paul
442,male,25-34,academic/educator,Saint Paul
443,male,25-34,clerical/admin,Minneapolis
444,male,56+,other,Saint Paul
445,male,45-49,programmer,Saint Paul
446,female,50-55,other,Lake Elmo
447,female,45-49,lawyer,Saint Paul
448,male,25-34,technician/engineer,Littleton
449,male,25-34,executive/managerial,Phoenix
450,male,45-49,academic/educator,Bedford
451,male,56+,retired,Altoona
452,male,50-55,technician/engineer,Saint Paul
453,male,18-24,college/grad student,Saint Paul
454,male,25-34,writer,Wyoming
455,female,35-44,artist,Saint Paul
456,male,35-44,other,Saint Paul
457,male,18-24,college/grad student,Eau Claire
458,male,50-55,self-employed,
459,female,18-24,college/grad student,Saint Paul
460,male,45-49,tradesman/craftsman,Buffalo
461,male,50-55,executive/managerial,South Saint Paul
462,male,18-24,self-employed,Minneapolis
463,male,25-34,executive/managerial,Saint Paul
464,female,18-24,college/grad student,Minneapolis
465,male,18-24,unemployed,Pleasant Hill
466,male,25-34,customer service,Minneapolis
467,female,35-44,clerical/admin,South Saint Paul
468,female,<18,K-12 student,Stillwater
469,male,35-44,doctor/health care,Saint Paul
470,female,<18,K-12 student,Rosemount
471,male,35-44,executive/managerial,Highland Park
472,male,35-44,other,Minneapolis
473,female,18-24,college/grad student,Saint Paul
474,male,25-34,technician/engineer,San Diego
475,female,25-34,artist,Minneapolis
476,male,35-44,other,Saint Paul
477,male,35-44,sales/marketing,Minneapolis
478,male,50-55,self-employed,Saint Paul
479,male,25-34,programmer,Lake Elmo
480,female,18-24,college/grad student,Minneapolis
481,male,45-49,executive/managerial,Saint Paul
482,male,25-34,sales/marketing,Hopkins
483,male,18-24,programmer,Saint Paul
484,female,<18,K-12 student,Saint Paul
485,male,56+,executive/managerial,Lake Elmo
486,male,56+,other,Woodland Hills
487,female,35-44,technician/engineer,Stillwater
488,male,25-34,programmer,Saint Paul
489,male,18-24,college/grad student,Minneapolis
490,male,<18,K-12 student,Minnetonka
491,male,18-24,college/grad student,Hayward
492,male,25-34,programmer,Saint Paul
493,male,50-55,executive/managerial,Cottage Grove
494,female,35-44,other,Selinsgrove
495,male,18-24,K-12 student,Minneapolis
496,male,18-24,college/grad student,Minneapolis
497,female,25-34,technician/engineer,Minneapolis
498,male,35-44,technician/engineer,Saint Paul
499,female,25-34,academic/educator,Saint Paul
500,female,18-24,artist,Saint Paul
501,male,25-34,artist,Prior Lake
502,male,35-44,doctor/health care,Saint Paul
503,male,35-44,lawyer,Oklahoma City
504,male,25-34,artist,Annville
505,male,35-44,technician/engineer,Morristown
506,male,25-34,self-employed,
507,female,25-34,other,Minneapolis
508,male,25-34,programmer,Minneapolis
509,male,25-34,artist,Saint Paul
510,male,18-24,programmer,Saint Paul
511,female,45-49,college/grad student,Pittsburgh
512,male,35-44,other,Shakopee
513,male,25-34,other,Saint Paul
514,male,25-34,artist,Saint Paul
515,male,25-34,academic/educator,Minneapolis
516,female,56+,sales/marketing,Hastings
517,female,25-34,sales/marketing,Minneapolis
518,female,35-44,programmer,Dallas
519,female,35-44,sales/marketing,Hugo
520,female,35-44,writer,Saint Paul
521,male,56+,executive/managerial,Saint Paul
522,male,25-34,programmer,Saint Paul
523,male,50-55,executive/managerial,Saint Paul
524,male,18-24,other,Newbury Park
525,male,35-44,doctor/health care,Elkins Park
526,male,45-49,technician/engineer,San Pablo
527,female,25-34,artist,Brooklyn
528,female,18-24,technician/engineer,Moscow
529,male,35-44,programmer,Carlsbad
530,male,25-34,artist,New York
531,female,18-24,sales/marketing,Arlington
532,male,25-34,executive/managerial,Palo Alto
533,male,25-34,programmer,Chapel Hill
534,male,25-34,scientist,Rochester
535,male,35-44,doctor/health care,Sonora
536,male,25-34,writer,Williamstown
537,male,45-49,sales/marketing,Fair Haven
538,male,56+,self-employed,Santa Rosa
539,male,25-34,artist,Saint Paul
540,male,18-24,academic/educator,Pittsburgh
541,female,18-24,college/grad student,
542,male,18-24,college/grad student,Austin
543,male,25-34,customer service,Northfield
544,male,35-44,programmer,Fremont
545,male,35-44,technician/engineer,Winchester
546,female,25-34,other,Nashville
547,male,35-44,programmer,Fort Worth
548,female,35-44,self-employed,"Jbphh, FPO AA"
549,male,25-34,doctor/health care,Milwaukee
550,male,45-49,farmer,
551,male,35-44,writer,Saint Paul
552,male,50-55,tradesman/craftsman,Virginia Beach
553,male,25-34,artist,San Francisco
554,male,25-34,programmer,Sunnyvale
555,male,18-24,college/grad student,Milwaukee
556,female,25-34,homemaker,Nashville
557,male,56+,academic/educator,Decatur
558,male,35-44,writer,Saint Paul
559,female,25-34,executive/managerial,Flossmoor
560,male,45-49,scientist,Yellow Jacket
561,female,18-24,sales/marketing,Kearney
562,male,35-44,writer,Troy
563,male,25-34,college/grad student,Madison
564,male,45-49,academic/educator,Hamilton
565,male,25-34,self-employed,Cincinnati
566,male,25-34,technician/engineer,San Diego
567,male,35-44,writer,
568,female,50-55,technician/engineer,Newark
569,female,18-24,college/grad student,Corvallis
570,male,25-34,college/grad student,Fort Lauderdale
571,male,50-55,customer service,Santa Rosa
572,male,18-24,college/grad student,Urbana
573,female,35-44,artist,Seattle
574,male,25-34,unemployed,
575,male,25-34,programmer,San Diego
576,female,45-49,scientist,Silver Spring
577,male,35-44,other,Boston
578,male,18-24,technician/engineer,Los Angeles
579,male,25-34,customer service,Orlando
580,male,<18,K-12 student,Pennington
581,male,50-55,sales/marketing,Geronimo
582,male,18-24,college/grad student,El Dorado
583,female,25-34,other,Royal Oak
584,female,25-34,other,San Mateo
585,male,18-24,academic/educator,Madison
586,male,35-44,sales/marketing,Mequon
587,male,25-34,writer,Huntington Beach
588,female,25-34,lawyer,Richmond
589,male,18-24,artist,Beverly Hills
590,female,35-44,doctor/health care,Kent
591,male,25-34,other,Denton
592,male,18-24,other,San Diego
593,female,50-55,academic/educator,Claremont
594,female,56+,retired,Skokie
595,male,25-34,executive/managerial,New York
596,female,25-34,academic/educator,Newburyport
597,male,35-44,programmer,Denver
598,male,35-44,executive/managerial,Sonoma
599,male,50-55,doctor/health care,Madison
600,male,35-44,technician/engineer,Leawood
601,female,18-24,writer,New London
602,female,56+,doctor/health care,Rochester
603,female,25-34,doctor/health care,Jacksonville
604,male,45-49,technician/engineer,Jacksonville
605,female,18-24,college/grad student,Hubbard
606,female,<18,K-12 student,Grand Rapids
607,male,25-34,other,Toledo
608,male,18-24,college/grad student,Alburtis
609,male,25-34,executive/managerial,New York
610,male,25-34,college/grad student,Houston
611,male,35-44,other,Bowie
612,male,50-55,executive/managerial,Gilroy
613,male,35-44,writer,Ossining
614,male,35-44,academic/educator,Los Angeles
615,male,50-55,technician/engineer,Melbourne Beach
616,male,25-34,executive/managerial,San Francisco
617,female,25-34,executive/managerial,San Diego
618,male,25-34,other,Tulsa
619,female,18-24,academic/educator,Albany
620,male,18-24,other,Syracuse
621,male,18-24,college/grad student,Rosamond
622,male,25-34,other,Irvine
623,male,25-34,technician/engineer,Warrenville
624,male,25-34,academic/educator,Dallas
625,female,35-44,programmer,Cleveland
626,male,18-24,college/grad student,Houston
627,male,50-55,artist,Portland
628,female,35-44,other,Bowie
629,female,<18,K-12 student,Livonia
630,female,35-44,sales/marketing,Fort Collins
631,male,35-44,technician/engineer,Hickory
632,male,45-49,technician/engineer,Oradell
633,male,25-34,technician/engineer,San Francisco
634,female,<18,K-12 student,Grand Rapids
635,male,56+,technician/engineer,Indian Rocks Beach
636,male,18-24,writer,Camp Pendleton
637,male,35-44,programmer,Newberg
638,male,25-34,doctor/health care,Pearland
639,male,45-49,technician/engineer,Mesa
640,male,18-24,college/grad student,Bloomington
641,female,35-44,other,Saint Paul
642,female,35-44,academic/educator,Seguin
643,male,25-34,artist,Williamsburg
644,male,25-34,writer,Fresno
645,male,35-44,writer,Brooklyn
646,male,35-44,executive/managerial,Bordentown
647,male,35-44,programmer,Chandler
648,female,25-34,programmer,San Francisco
649,male,25-34,college/grad student,Fort Collins
650,male,25-34,technician/engineer,Muskegon
651,male,35-44,executive/managerial,Kensington
652,male,18-24,writer,Albany
653,male,56+,retired,Newport Beach
654,male,50-55,executive/managerial,Plano
655,female,25-34,artist,Dana Point
656,female,45-49,self-employed,San Diego
657,female,50-55,retired,Holiday
658,female,25-34,other,New York
659,female,25-34,other,Pineville
660,male,45-49,self-employed,Lafayette
661,male,45-49,academic/educator,Mexico
662,male,18-24,college/grad student,Pullman
663,female,25-34,executive/managerial,Schenectady
664,male,35-44,tradesman/craftsman,Ponca City
665,male,18-24,artist,Canajoharie
666,female,18-24,other,Princeton
667,male,25-34,tradesman/craftsman,Mcchord Afb
668,female,25-34,clerical/admin,Falls Church
669,male,25-34,technician/engineer,Atlanta
670,male,25-34,programmer,Atlanta
671,male,18-24,college/grad student,Normal
672,male,35-44,executive/managerial,Fort Wayne
673,male,25-34,writer,New York
674,male,25-34,technician/engineer,Falls Church
675,male,25-34,writer,Mansfield
676,male,18-24,self-employed,Saint Paul
677,male,50-55,artist,San Francisco
678,male,25-34,other,Port Saint Lucie
679,male,35-44,self-employed,Simpsonville
680,male,25-34,programmer,Antioch
681,male,35-44,executive/managerial,Gainesville
682,male,25-34,college/grad student,Carrboro
683,male,25-34,college/grad student,Chapel Hill
684,male,25-34,college/grad student,Carrboro
685,male,25-34,college/grad student,Chapel Hill
686,male,18-24,college/grad student,Chapel Hill
687,female,25-34,executive/managerial,Silver Creek
688,male,56+,retired,Mohawk
689,female,50-55,other,Ann Arbor
690,male,25-34,programmer,Lomita
691,male,35-44,lawyer,Honolulu
692,female,25-34,other,Mesa
693,male,35-44,programmer,Seattle
694,male,18-24,college/grad student,Stephenville
695,female,18-24,academic/educator,Lewiston
696,male,25-34,programmer,San Francisco
697,female,50-55,doctor/health care,Corvallis
698,male,18-24,college/grad student,Stephenville
699,male,18-24,other,Lawton
700,male,50-55,technician/engineer,Rochester
701,female,18-24,college/grad student,Amherst
702,male,35-44,executive/managerial,Long Beach
703,female,56+,academic/educator,Oberlin
704,female,35-44,farmer,Tucson
705,male,25-34,college/grad student,Romeo
706,male,35-44,writer,Round Rock
707,male,35-44,executive/managerial,Jersey Shore
708,male,25-34,other,Clarksville
709,male,18-24,other,Huntington Beach
710,male,25-34,writer,Mesa
711,male,25-34,tradesman/craftsman,Fort Collins
712,male,25-34,other,San Jose
713,male,35-44,executive/managerial,El Paso
714,male,18-24,college/grad student,Arlington
715,male,18-24,other,Madison
716,male,18-24,college/grad student,Seattle
717,male,25-34,lawyer,Beverly Hills
718,male,18-24,artist,Beverly Hills
719,male,<18,other,Mckinney
720,male,18-24,other,Saint Paul
721,female,35-44,homemaker,Ashland
722,male,25-34,programmer,Saint Paul
723,male,25-34,programmer,Issaquah
724,male,50-55,retired,Manhattan Beach
725,male,56+,lawyer,Highland Park
726,female,25-34,homemaker,Katy
727,male,35-44,lawyer,Redwood City
728,male,25-34,doctor/health care,Woodmere
729,male,35-44,programmer,Tempe
730,male,25-34,other,Rye
731,male,45-49,clerical/admin,Minneapolis
732,male,25-34,executive/managerial,Hoboken
