UserID,Gender,Age,Occupation
137,female,45-49,doctor/health care
138,male,18-24,writer
139,female,25-34,writer
140,female,35-44,academic/educator
141,male,35-44,retired
142,male,25-34,executive/managerial
143,male,18-24,clerical/admin
144,male,25-34,technician/engineer
145,male,18-24,college/grad student
146,female,35-44,writer
147,male,18-24,college/grad student
148,male,50-55,technician/engineer
149,male,25-34,academic/educator
150,male,35-44,executive/managerial
151,female,25-34,writer
152,male,18-24,college/grad student
153,male,<18,K-12 student
154,male,50-55,writer
155,male,35-44,programmer
156,female,45-49,executive/managerial
157,male,35-44,self-employed
158,male,56+,executive/managerial
159,female,45-49,other
160,male,35-44,executive/managerial
161,male,45-49,self-employed
162,female,18-24,college/grad student
163,male,18-24,college/grad student
164,female,56+,retired
165,male,18-24,self-employed
166,male,18-24,college/grad student
167,female,25-34,lawyer
168,female,50-55,other
169,male,25-34,executive/managerial
170,male,25-34,lawyer
171,female,50-55,technician/engineer
172,male,25-34,clerical/admin
173,male,25-34,other
174,male,25-34,self-employed
175,female,25-34,artist
176,female,18-24,clerical/admin
177,male,50-55,academic/educator
178,male,56+,technician/engineer
179,male,25-34,other
180,male,45-49,programmer
181,male,18-24,technician/engineer
182,male,18-24,college/grad student
183,female,45-49,academic/educator
184,female,25-34,other
185,male,45-49,other
186,male,18-24,customer service
187,female,45-49,academic/educator
188,male,56+,self-employed
189,male,18-24,other
190,male,25-34,technician/engineer
191,male,18-24,college/grad student
192,male,18-24,academic/educator
193,female,45-49,scientist
194,female,<18,K-12 student
195,male,25-34,programmer
196,female,35-44,homemaker
197,male,18-24,sales/marketing
198,male,25-34,programmer
199,male,18-24,college/grad student
200,female,18-24,college/grad student
201,female,35-44,artist
202,male,18-24,college/grad student
203,female,18-24,college/grad student
204,male,25-34,executive/managerial
205,male,35-44,programmer
206,male,25-34,technician/engineer
207,male,25-34,programmer
208,male,35-44,technician/engineer
209,male,35-44,academic/educator
210,female,<18,K-12 student
211,male,45-49,technician/engineer
212,male,25-34,self-employed
213,female,18-24,college/grad student
214,male,18-24,writer
215,male,35-44,sales/marketing
216,male,45-49,retired
217,male,18-24,college/grad student
218,male,35-44,sales/marketing
219,female,25-34,college/grad student
220,male,25-34,programmer
221,female,25-34,other
222,male,25-34,academic/educator
223,male,25-34,technician/engineer
224,female,18-24,college/grad student
225,male,25-34,executive/managerial
226,male,35-44,academic/educator
227,male,35-44,writer
228,male,25-34,scientist
229,male,18-24,K-12 student
230,male,45-49,academic/educator
231,male,25-34,clerical/admin
232,male,25-34,writer
233,female,45-49,writer
234,male,35-44,executive/managerial
235,male,25-34,other
236,male,25-34,customer service
237,male,25-34,doctor/health care
238,female,50-55,executive/managerial
239,male,18-24,unemployed
240,male,50-55,technician/engineer
241,male,35-44,writer
242,female,18-24,college/grad student
243,male,25-34,self-employed
244,male,50-55,executive/managerial
245,male,35-44,self-employed
246,female,18-24,college/grad student
247,male,25-34,technician/engineer
248,male,18-24,technician/engineer
249,female,18-24,sales/marketing
250,male,35-44,self-employed
251,male,56+,technician/engineer
252,male,25-34,programmer
253,female,25-34,lawyer
254,male,35-44,technician/engineer
255,male,35-44,other
256,male,45-49,self-employed
257,male,18-24,tradesman/craftsman
258,male,25-34,executive/managerial
259,male,25-34,academic/educator
260,male,18-24,unemployed
261,male,25-34,writer
262,female,25-34,academic/educator
263,female,25-34,executive/managerial
264,male,35-44,other
265,female,35-44,executive/managerial
266,male,35-44,lawyer
267,male,45-49,programmer
268,female,18-24,programmer
269,male,25-34,artist
270,male,50-55,sales/marketing
271,male,18-24,college/grad student
272,male,18-24,other
273,male,18-24,college/grad student
274,male,18-24,college/grad student
275,male,25-34,other
276,male,45-49,self-employed
277,female,35-44,academic/educator
278,male,45-49,tradesman/craftsman
279,male,25-34,sales/marketing
280,male,50-55,executive/managerial
281,female,35-44,other
282,male,25-34,technician/engineer
283,male,25-34,other
284,male,25-34,programmer
285,female,35-44,other
286,male,25-34,academic/educator
287,male,50-55,retired
288,female,25-34,programmer
289,female,25-34,other
290,female,25-34,writer
291,male,35-44,programmer
292,male,35-44,executive/managerial
293,male,56+,academic/educator
294,female,45-49,homemaker
295,male,18-24,other
296,male,50-55,customer service
297,male,18-24,artist
298,female,18-24,college/grad student
299,male,25-34,programmer
300,male,25-34,executive/managerial
301,male,18-24,college/grad student
302,male,18-24,college/grad student
303,male,25-34,executive/managerial
304,male,25-34,other
305,female,18-24,other
306,male,18-24,other
307,male,50-55,self-employed
308,male,25-34,artist
309,male,25-34,college/grad student
310,female,18-24,college/grad student
311,male,18-24,college/grad student
312,female,50-55,artist
313,female,18-24,college/grad student
314,female,56+,homemaker
315,female,56+,academic/educator
316,male,56+,retired
317,male,35-44,executive/managerial
318,female,56+,retired
319,female,50-55,doctor/health care
320,male,35-44,doctor/health care
321,male,18-24,college/grad student
322,male,56+,technician/engineer
323,male,45-49,programmer
324,male,35-44,technician/engineer
325,female,50-55,clerical/admin
326,male,50-55,lawyer
327,male,35-44,tradesman/craftsman
328,male,35-44,programmer
329,male,35-44,executive/managerial
330,male,56+,executive/managerial
331,male,25-34,executive/managerial
332,male,50-55,academic/educator
333,male,35-44,artist
334,female,56+,artist
335,male,35-44,tradesman/craftsman
336,male,18-24,other
337,male,18-24,unemployed
338,male,35-44,executive/managerial
339,male,50-55,executive/managerial
340,female,25-34,clerical/admin
341,female,56+,retired
342,male,18-24,programmer
343,female,35-44,clerical/admin
344,male,35-44,sales/marketing
345,male,25-34,programmer
346,female,25-34,other
347,female,56+,academic/educator
348,male,50-55,executive/managerial
349,male,<18,K-12 student
350,male,45-49,writer
351,male,18-24,college/grad student
352,male,18-24,college/grad student
353,female,35-44,executive/managerial
354,male,35-44,academic/educator
355,male,18-24,clerical/admin
356,male,56+,writer
357,male,18-24,other
358,female,56+,academic/educator
359,male,25-34,technician/engineer
360,male,35-44,technician/engineer
361,female,25-34,sales/marketing
362,male,35-44,writer
363,male,18-24,K-12 student
364,female,35-44,academic/educator
365,female,18-24,college/grad student
366,male,50-55,scientist
367,male,50-55,programmer
368,male,25-34,other
369,male,35-44,academic/educator
370,male,18-24,technician/engineer
371,male,18-24,college/grad student
372,female,18-24,college/grad student
373,female,25-34,artist
374,female,35-44,sales/marketing
375,male,25-34,artist
376,male,35-44,academic/educator
377,male,25-34,technician/engineer
378,female,18-24,other
379,female,35-44,academic/educator
380,male,25-34,artist
381,male,35-44,technician/engineer
382,female,35-44,writer
383,female,25-34,executive/managerial
384,male,25-34,lawyer
385,male,25-34,doctor/health care
386,male,25-34,other
387,female,35-44,executive/managerial
388,female,25-34,other
389,male,25-34,doctor/health care
390,male,25-34,college/grad student
391,male,45-49,lawyer
392,male,18-24,executive/managerial
393,male,35-44,technician/engineer
394,male,18-24,other
395,male,18-24,customer service
396,male,25-34,academic/educator
397,male,35-44,technician/engineer
398,male,25-34,technician/engineer
399,female,35-44,doctor/health care
400,female,18-24,clerical/admin
401,male,18-24,other
402,male,25-34,lawyer
403,male,18-24,college/grad student
404,male,18-24,college/grad student
405,male,56+,academic/educator
406,male,25-34,writer
407,male,18-24,technician/engineer
408,male,25-34,lawyer
409,male,18-24,programmer
410,female,25-34,academic/educator
411,female,45-49,academic/educator
412,male,35-44,scientist
413,male,25-34,lawyer
414,male,25-34,other
415,female,35-44,other
416,male,45-49,sales/marketing
417,female,25-34,other
418,female,25-34,clerical/admin
419,male,18-24,clerical/admin
420,male,35-44,academic/educator
421,female,45-49,clerical/admin
422,male,56+,technician/engineer
423,male,18-24,college/grad student
424,male,25-34,technician/engineer
425,male,25-34,programmer
426,male,18-24,college/grad student
427,male,35-44,programmer
428,female,18-24,college/grad student
429,male,18-24,other
430,female,18-24,K-12 student
431,male,18-24,K-12 student
432,male,45-49,self-employed
433,male,50-55,doctor/health care
434,female,45-49,clerical/admin
435,male,25-34,executive/managerial
436,male,18-24,college/grad student
437,male,35-44,technician/engineer
438,male,18-24,lawyer
439,male,35-44,sales/marketing
440,male,56+,academic/educator
441,male,35-44,academic/educator
442,male,25-34,academic/educator
443,male,25-34,clerical/admin
444,male,56+,other
445,male,45-49,programmer
446,female,50-55,other
447,female,45-49,lawyer
448,male,25-34,technician/engineer
449,male,25-34,executive/managerial
450,male,45-49,academic/educator
451,male,56+,retired
452,male,50-55,technician/engineer
453,male,18-24,college/grad student
454,male,25-34,writer
455,female,35-44,artist
456,male,35-44,other
457,male,18-24,college/grad student
458,male,50-55,self-employed
459,female,18-24,college/grad student
460,male,45-49,tradesman/craftsman
461,male,50-55,executive/managerial
462,male,18-24,self-employed
463,male,25-34,executive/managerial
464,female,18-24,college/grad student
465,male,18-24,unemployed
466,male,25-34,customer service
467,female,35-44,clerical/admin
468,female,<18,K-12 student
469,male,35-44,doctor/health care
470,female,<18,K-12 student
471,male,35-44,executive/managerial
472,male,35-44,other
473,female,18-24,college/grad student
474,male,25-34,technician/engineer
475,female,25-34,artist
476,male,35-44,other
477,male,35-44,sales/marketing
478,male,50-55,self-employed
479,male,25-34,programmer
480,female,18-24,college/grad student
481,male,45-49,executive/managerial
482,male,25-34,sales/marketing
483,male,18-24,programmer
484,female,<18,K-12 student
485,male,56+,executive/managerial
486,male,56+,other
487,female,35-44,technician/engineer
488,male,25-34,programmer
489,male,18-24,college/grad student
490,male,<18,K-12 student
491,male,18-24,college/grad student
492,male,25-34,programmer
493,male,50-55,executive/managerial
494,female,35-44,other
495,male,18-24,K-12 student
496,male,18-24,college/grad student
497,female,25-34,technician/engineer
498,male,35-44,technician/engineer
499,female,25-34,academic/educator
500,female,18-24,artist
501,male,25-34,artist
502,male,35-44,doctor/health care
503,male,35-44,lawyer
504,male,25-34,artist
505,male,35-44,technician/engineer
506,male,25-34,self-employed
507,female,25-34,other
508,male,25-34,programmer
509,male,25-34,artist
510,male,18-24,programmer
511,female,45-49,college/grad student
512,male,35-44,other
513,male,25-34,other
514,male,25-34,artist
515,male,25-34,academic/educator
516,female,56+,sales/marketing
517,female,25-34,sales/marketing
518,female,35-44,programmer
519,female,35-44,sales/marketing
520,female,35-44,writer
521,male,56+,executive/managerial
522,male,25-34,programmer
523,male,50-55,executive/managerial
524,male,18-24,other
525,male,35-44,doctor/health care
526,male,45-49,technician/engineer
527,female,25-34,artist
528,female,18-24,technician/engineer
529,male,35-44,programmer
530,male,25-34,artist
531,female,18-24,sales/marketing
532,male,25-34,executive/managerial
533,male,25-34,programmer
534,male,25-34,scientist
535,male,35-44,doctor/health care
536,male,25-34,writer
537,male,45-49,sales/marketing
538,male,56+,self-employed
539,male,25-34,artist
540,male,18-24,academic/educator
541,female,18-24,college/grad student
542,male,18-24,college/grad student
543,male,25-34,customer service
544,male,35-44,programmer
545,male,35-44,technician/engineer
546,female,25-34,other
547,male,35-44,programmer
548,female,35-44,self-employed
549,male,25-34,doctor/health care
550,male,45-49,farmer
551,male,35-44,writer
552,male,50-55,tradesman/craftsman
553,male,25-34,artist
554,male,25-34,programmer
555,male,18-24,college/grad student
556,female,25-34,homemaker
557,male,56+,academic/educator
558,male,35-44,writer
559,female,25-34,executive/managerial
560,male,45-49,scientist
561,female,18-24,sales/marketing
562,male,35-44,writer
563,male,25-34,college/grad student
564,male,45-49,academic/educator
565,male,25-34,self-employed
566,male,25-34,technician/engineer
567,male,35-44,writer
568,female,50-55,technician/engineer
569,female,18-24,college/grad student
570,male,25-34,college/grad student
571,male,50-55,customer service
572,male,18-24,college/grad student
573,female,35-44,artist
574,male,25-34,unemployed
575,male,25-34,programmer
576,female,45-49,scientist
577,male,35-44,other
578,male,18-24,technician/engineer
579,male,25-34,customer service
580,male,<18,K-12 student
581,male,50-55,sales/marketing
582,male,18-24,college/grad student
583,female,25-34,other
584,female,25-34,other
585,male,18-24,academic/educator
586,male,35-44,sales/marketing
587,male,25-34,writer
588,female,25-34,lawyer
589,male,18-24,artist
590,female,35-44,doctor/health care
591,male,25-34,other
592,male,18-24,other
593,female,50-55,academic/educator
594,female,56+,retired
595,male,25-34,executive/managerial
596,female,25-34,academic/educator
597,male,35-44,programmer
598,male,35-44,executive/managerial
599,male,50-55,doctor/health care
600,male,35-44,technician/engineer
601,female,18-24,writer
602,female,56+,doctor/health care
603,female,25-34,doctor/health care
604,male,45-49,technician/engineer
605,female,18-24,college/grad student
606,female,<18,K-12 student
607,male,25-34,other
608,male,18-24,college/grad student
609,male,25-34,executive/managerial
610,male,25-34,college/grad student
611,male,35-44,other
612,male,50-55,executive/managerial
613,male,35-44,writer
614,male,35-44,academic/educator
615,male,50-55,technician/engineer
616,male,25-34,executive/managerial
617,female,25-34,executive/managerial
618,male,25-34,other
619,female,18-24,academic/educator
620,male,18-24,other
621,male,18-24,college/grad student
622,male,25-34,other
623,male,25-34,technician/engineer
624,male,25-34,academic/educator
625,female,35-44,programmer
626,male,18-24,college/grad student
627,male,50-55,artist
628,female,35-44,other
629,female,<18,K-12 student
630,female,35-44,sales/marketing
631,male,35-44,technician/engineer
632,male,45-49,technician/engineer
633,male,25-34,technician/engineer
634,female,<18,K-12 student
635,male,56+,technician/engineer
636,male,18-24,writer
637,male,35-44,programmer
638,male,25-34,doctor/health care
639,male,45-49,technician/engineer
640,male,18-24,college/grad student
641,female,35-44,other
642,female,35-44,academic/educator
643,male,25-34,artist
644,male,25-34,writer
645,male,35-44,writer
646,male,35-44,executive/managerial
647,male,35-44,programmer
648,female,25-34,programmer
649,male,25-34,college/grad student
650,male,25-34,technician/engineer
651,male,35-44,executive/managerial
652,male,18-24,writer
653,male,56+,retired
654,male,50-55,executive/managerial
655,female,25-34,artist
656,female,45-49,self-employed
657,female,50-55,retired
658,female,25-34,other
659,female,25-34,other
660,male,45-49,self-employed
661,male,45-49,academic/educator
662,male,18-24,college/grad student
663,female,25-34,executive/managerial
664,male,35-44,tradesman/craftsman
665,male,18-24,artist
666,female,18-24,other
667,male,25-34,tradesman/craftsman
668,female,25-34,clerical/admin
669,male,25-34,technician/engineer
670,male,25-34,programmer
671,male,18-24,college/grad student
672,male,35-44,executive/managerial
673,male,25-34,writer
674,male,25-34,technician/engineer
675,male,25-34,writer
676,male,18-24,self-employed
677,male,50-55,artist
678,male,25-34,other
679,male,35-44,self-employed
680,male,25-34,programmer
681,male,35-44,executive/managerial
682,male,25-34,college/grad student
683,male,25-34,college/grad student
684,male,25-34,college/grad student
685,male,25-34,college/grad student
686,male,18-24,college/grad student
687,female,25-34,executive/managerial
688,male,56+,retired
689,female,50-55,other
690,male,25-34,programmer
691,male,35-44,lawyer
692,female,25-34,other
693,male,35-44,programmer
694,male,18-24,college/grad student
695,female,18-24,academic/educator
696,male,25-34,programmer
697,female,50-55,doctor/health care
698,male,18-24,college/grad student
699,male,18-24,other
700,male,50-55,technician/engineer
701,female,18-24,college/grad student
702,male,35-44,executive/managerial
703,female,56+,academic/educator
704,female,35-44,farmer
705,male,25-34,college/grad student
706,male,35-44,writer
707,male,35-44,executive/managerial
708,male,25-34,other
709,male,18-24,other
710,male,25-34,writer
711,male,25-34,tradesman/craftsman
712,male,25-34,other
713,male,35-44,executive/managerial
714,male,18-24,college/grad student
715,male,18-24,other
716,male,18-24,college/grad student
717,male,25-34,lawyer
718,male,18-24,artist
719,male,<18,other
720,male,18-24,other
721,female,35-44,homemaker
722,male,25-34,programmer
723,male,25-34,programmer
724,male,50-55,retired
725,male,56+,lawyer
726,female,25-34,homemaker
727,male,35-44,lawyer
728,male,25-34,doctor/health care
729,male,35-44,programmer
730,male,25-34,other
731,male,45-49,clerical/admin
732,male,25-34,executive/managerial
733,male,35-44,self-employed
734,male,25-34,executive/managerial
735,male,25-34,sales/marketing
736,male,18-24,programmer
737,male,<18,unemployed
738,male,18-24,technician/engineer
739,male,35-44,programmer
740,male,25-34,sales/marketing
741,male,25-34,customer service
742,male,18-24,other
743,female,<18,artist
744,male,25-34,technician/engineer
745,male,<18,K-12 student
746,female,18-24,unemployed
747,male,18-24,college/grad student
748,male,25-34,other
749,male,35-44,tradesman/craftsman
750,female,35-44,homemaker
751,female,25-34,technician/engineer
752,female,25-34,clerical/admin
753,male,<18,K-12 student
754,male,35-44,executive/managerial
755,female,35-44,other
756,male,35-44,other
757,male,25-34,programmer
758,male,35-44,executive/managerial
759,female,56+,clerical/admin
760,male,56+,scientist
761,male,18-24,executive/managerial
762,male,<18,K-12 student
763,male,18-24,K-12 student
764,male,18-24,writer
765,male,25-34,technician/engineer
766,female,25-34,executive/managerial
767,male,25-34,programmer
768,male,25-34,programmer
769,male,45-49,technician/engineer
770,male,18-24,college/grad student
771,female,50-55,academic/educator
772,male,18-24,programmer
773,male,25-34,doctor/health care
774,male,18-24,college/grad student
775,male,<18,technician/engineer
776,female,25-34,clerical/admin
777,male,18-24,unemployed
778,male,18-24,technician/engineer
779,male,25-34,other
780,male,25-34,technician/engineer
781,male,18-24,college/grad student
782,male,56+,academic/educator
783,male,25-34,college/grad student
784,male,18-24,other
785,male,18-24,unemployed
786,male,25-34,other
787,male,18-24,college/grad student
788,male,25-34,other
789,male,18-24,academic/educator
790,male,25-34,technician/engineer
791,male,35-44,executive/managerial
792,male,25-34,technician/engineer
793,female,35-44,sales/marketing
794,male,50-55,writer
795,female,35-44,sales/marketing
796,male,50-55,doctor/health care
797,female,50-55,executive/managerial
798,female,25-34,writer
799,female,25-34,customer service
800,female,35-44,programmer
801,female,25-34,writer
802,male,25-34,self-employed
803,male,18-24,college/grad student
804,male,25-34,writer
805,male,35-44,programmer
806,male,35-44,other
807,male,18-24,college/grad student
808,male,25-34,executive/managerial
809,male,25-34,technician/engineer
810,male,25-34,programmer
811,male,50-55,other
812,male,25-34,doctor/health care
813,male,18-24,college/grad student
814,female,18-24,college/grad student
815,male,25-34,college/grad student
816,male,45-49,other
817,male,18-24,college/grad student
818,male,18-24,college/grad student
819,male,35-44,executive/managerial
820,male,35-44,executive/managerial
821,male,18-24,artist
822,female,25-34,academic/educator
823,male,25-34,other
824,male,35-44,programmer
825,male,56+,academic/educator
826,female,35-44,academic/educator
827,male,45-49,artist
828,male,18-24,college/grad student
829,male,<18,unemployed
830,male,35-44,executive/managerial
831,female,45-49,other
832,male,18-24,artist
833,male,35-44,executive/managerial
834,female,35-44,programmer
835,male,56+,other
836,male,25-34,lawyer
837,male,56+,executive/managerial
838,male,50-55,technician/engineer
839,male,25-34,other
840,female,25-34,clerical/admin
841,female,50-55,sales/marketing
842,female,18-24,other
843,male,25-34,executive/managerial
844,male,25-34,other
845,female,18-24,other
846,male,25-34,customer service
847,female,25-34,executive/managerial
848,male,25-34,scientist
849,male,25-34,clerical/admin
850,male,35-44,other
851,male,18-24,college/grad student
852,male,25-34,customer service
853,male,25-34,technician/engineer
854,female,25-34,self-employed
855,female,18-24,artist
856,female,45-49,doctor/health care
857,male,35-44,technician/engineer
858,male,35-44,sales/marketing
859,male,25-34,programmer
860,male,18-24,other
861,male,25-34,executive/managerial
862,male,35-44,executive/managerial
863,male,25-34,executive/managerial
864,female,25-34,other
865,male,35-44,academic/educator
866,male,<18,K-12 student
867,male,45-49,programmer
868,male,50-55,technician/engineer
869,male,18-24,writer
870,female,25-34,academic/educator
871,male,<18,K-12 student
872,male,50-55,academic/educator
873,male,56+,doctor/health care
874,male,45-49,scientist
875,male,<18,K-12 student
876,male,25-34,college/grad student
877,male,25-34,other
878,male,18-24,artist
879,male,45-49,self-employed
880,male,35-44,technician/engineer
881,male,18-24,sales/marketing
882,male,18-24,artist
883,female,35-44,sales/marketing
884,male,<18,K-12 student
885,male,35-44,other
886,female,56+,other
887,female,56+,self-employed
888,female,<18,K-12 student
889,male,45-49,writer
890,male,18-24,college/grad student
891,male,25-34,academic/educator
892,male,35-44,other
893,female,50-55,doctor/health care
894,male,18-24,college/grad student
895,male,50-55,academic/educator
896,male,18-24,scientist
897,male,25-34,doctor/health care
898,male,25-34,executive/managerial
899,female,25-34,academic/educator
900,female,56+,retired
901,female,56+,other
902,male,56+,other
903,male,56+,retired
904,male,35-44,writer
905,female,45-49,programmer
906,male,<18,K-12 student
907,female,45-49,doctor/health care
908,female,50-55,academic/educator
909,male,45-49,executive/managerial
910,female,50-55,other
911,male,50-55,other
912,female,35-44,artist
913,male,25-34,other
914,female,35-44,homemaker
915,male,25-34,executive/managerial
916,female,25-34,academic/educator
917,male,50-55,doctor/health care
918,female,45-49,academic/educator
919,female,35-44,academic/educator
920,male,18-24,college/grad student
921,male,25-34,technician/engineer
922,male,56+,self-employed
923,male,25-34,executive/managerial
924,male,50-55,technician/engineer
925,female,35-44,clerical/admin
926,male,<18,K-12 student
927,female,25-34,writer
928,female,56+,self-employed
929,male,25-34,scientist
930,male,25-34,customer service
931,female,56+,academic/educator
932,female,35-44,doctor/health care
933,male,45-49,academic/educator
934,female,35-44,executive/managerial
935,male,35-44,sales/marketing
936,male,18-24,college/grad student
937,male,25-34,scientist
938,female,25-34,academic/educator
939,female,25-34,writer
940,male,<18,K-12 student
941,male,18-24,writer
942,female,50-55,doctor/health care
943,female,45-49,programmer
944,male,35-44,other
945,male,45-49,executive/managerial
946,male,35-44,executive/managerial
947,male,18-24,other
948,male,56+,programmer
949,male,50-55,technician/engineer
950,male,35-44,executive/managerial
951,male,45-49,artist
952,male,56+,self-employed
953,male,50-55,writer
954,female,25-34,other
955,female,50-55,executive/managerial
956,male,35-44,academic/educator
957,male,35-44,academic/educator
958,male,35-44,artist
959,male,50-55,lawyer
960,male,<18,K-12 student
961,male,18-24,K-12 student
962,female,25-34,academic/educator
963,male,25-34,other
964,male,25-34,executive/managerial
965,male,56+,executive/managerial
966,male,56+,artist
967,female,18-24,other
968,male,50-55,programmer
969,female,25-34,lawyer
970,male,25-34,other
971,male,25-34,programmer
972,male,45-49,academic/educator
973,female,25-34,academic/educator
974,male,35-44,unemployed
975,male,35-44,other
976,male,35-44,sales/marketing
977,male,25-34,artist
978,male,18-24,other
979,male,<18,K-12 student
980,male,25-34,doctor/health care
981,male,25-34,writer
982,female,25-34,homemaker
983,female,25-34,self-employed
984,male,50-55,self-employed
985,male,25-34,college/grad student
986,female,56+,other
987,female,35-44,technician/engineer
988,male,50-55,lawyer
989,male,50-55,other
990,male,18-24,doctor/health care
991,female,25-34,homemaker
992,female,35-44,clerical/admin
993,male,25-34,other
994,male,18-24,artist
995,female,18-24,college/grad student
996,male,25-34,technician/engineer
997,male,<18,unemployed
998,male,45-49,writer
999,male,25-34,scientist
1000,female,25-34,doctor/health care
1001,male,25-34,college/grad student
1002,male,50-55,lawyer
1003,male,25-34,artist
1004,male,25-34,clerical/admin
1005,male,35-44,lawyer
1006,male,18-24,college/grad student
1007,male,50-55,programmer
1008,male,35-44,clerical/admin
1009,male,50-55,executive/managerial
1010,male,25-34,other
1011,male,25-34,farmer
1012,female,35-44,academic/educator
1013,male,56+,retired
1014,female,45-49,technician/engineer
1015,male,35-44,clerical/admin
1016,male,56+,self-employed
1017,male,35-44,other
1018,male,18-24,college/grad student
1019,male,35-44,academic/educator
1020,male,18-24,writer
1021,male,35-44,other
1022,male,25-34,clerical/admin
1023,male,56+,retired
1024,female,35-44,academic/educator
1025,male,25-34,self-employed
1026,female,45-49,other
1027,male,18-24,college/grad student
1028,female,45-49,executive/managerial
1029,male,25-34,other
1030,male,25-34,executive/managerial
1031,male,35-44,self-employed
1032,male,50-55,self-employed
1033,male,25-34,customer service
1034,female,35-44,academic/educator
1035,male,18-24,artist
1036,male,35-44,executive/managerial
1037,male,45-49,executive/managerial
1038,female,56+,scientist
1039,female,35-44,academic/educator
1040,male,25-34,lawyer
1041,male,45-49,artist
1042,male,35-44,customer service
1043,female,50-55,lawyer
1044,male,25-34,writer
1045,female,<18,K-12 student
1046,male,56+,tradesman/craftsman
1047,male,18-24,other
1048,male,35-44,doctor/health care
1049,male,45-49,sales/marketing
1050,male,25-34,academic/educator
1051,female,25-34,other
1052,female,35-44,artist
1053,male,35-44,other
1054,male,<18,K-12 student
1055,male,35-44,other
1056,male,<18,other
1057,male,45-49,technician/engineer
1058,male,25-34,academic/educator
1059,female,25-34,other
1060,male,18-24,K-12 student
1061,male,45-49,other
1062,male,50-55,unemployed
1063,male,35-44,executive/managerial
1064,male,25-34,executive/managerial
1065,female,25-34,other
